[["B01003_001E","B01003_001M","B00001_001E","B19301_001E","B19301_001M","B19013_001E","B19013_001M","B01002_001E","B01002_001M","B25001_001E","B25001_001M","B00002_001E","state","county","tract","block group"],
["1538","271","122","65803","8497","124821","16715","35.5","6.0","631","86","58","11","001","008100","2"],
["946","209","86","82123","11872","124167","65867","31.0","6.1","523","93","44","11","001","008100","3"],
["628","125","71","81902","11624","101250","7686","45.8","11.3","416","75","45","11","001","008200","1"],
["2425","339","242","66589","14455","94207","11487","27.3","1.4","1163","76","96","11","001","008200","2"],
["1096","209","111","69324","10111","144000","32494","34.9","4.0","502","66","50","11","001","008301","1"],
["1395","275","122","67632","13695","129659","52496","30.4","2.1","589","72","55","11","001","008301","2"],
["2392","170","335","57161","4792","110250","12838","31.8","1.7","1026","32","143","11","001","008302","1"],
["1005","281","80","52890","9389","96016","11859","39.2","6.8","484","79","41","11","001","008402","1"],
["1006","202","90","48568","7279","62426","24294","43.6","7.4","710","90","64","11","001","008402","2"],
["1480","240","186","42321","6235","107662","6374","32.2","1.1","617","50","84","11","001","008410","1"],
["1210","269","149","49775","13938","76875","24411","36.7","7.0","536","78","66","11","001","008701","1"],
["1149","333","124","28004","6569","54762","12383","39.0","8.4","462","70","59","11","001","008701","2"],
["1138","218","123","25969","5362","65000","18045","33.5","2.5","484","65","57","11","001","008702","1"],
["623","142","68","35084","9578","29276","24624","45.8","6.9","353","57","38","11","001","008702","2"],
["531","188","44","31472","8223","59602","15465","41.5","9.5","305","85","25","11","001","008802","1"],
["1342","374","103","22736","5809","30234","21013","35.6","5.4","710","100","56","11","001","008802","2"],
["1326","318","113","31986","7086","67132","27437","36.6","5.0","498","86","45","11","001","008802","3"],
["1357","316","99","29088","11218","42969","35318","43.7","7.2","570","95","43","11","001","008802","4"],
["1931","382","249","11653","3186","15313","13902","24.1","4.0","655","32","68","11","001","008803","1"],
["1042","354","78","26010","10074","52208","10628","32.7","10.7","577","101","38","11","001","008804","1"],
["1634","350","104","20423","4681","26660","14811","40.5","2.4","881","106","58","11","001","008804","2"],
["2085","357","117","26216","6393","41875","21245","41.3","8.0","1045","121","64","11","001","008903","1"],
["1280","471","63","12369","3208","24482","5784","28.3","6.6","575","120","30","11","001","008903","2"],
["2097","325","139","21275","3855","30417","9845","40.3","6.7","1285","112","91","11","001","008904","1"],
["1036","340","71","23612","5451","33938","21038","42.3","3.7","619","113","46","11","001","008904","2"],
["1500","314","103","35195","6226","22147","23223","51.9","13.6","927","94","72","11","001","009000","1"],
["1479","278","119","30060","5128","38047","18586","55.6","3.9","910","86","81","11","001","009000","2"],
["1003","363","68","24810","7717","57237","12812","27.7","4.8","418","79","33","11","001","009102","1"],
["1965","394","157","27377","6293","44766","15355","35.5","4.1","938","106","75","11","001","009102","2"],
["2285","466","141","14856","3869","30156","15252","22.7","5.9","673","92","52","11","001","009102","3"],
["1877","239","244","33502","7510","52279","8631","33.1","2.9","708","31","79","11","001","009201","1"],
["1178","432","76","24283","6601","47782","48796","30.5","11.8","367","100","25","11","001","009203","1"],
["1594","529","107","44314","12395","88000","33737","28.5","6.7","926","98","61","11","001","009203","2"],
["861","202","75","26251","6400","50000","7902","37.5","4.5","489","81","40","11","001","009204","1"],
["2102","402","129","12466","2274","14714","6996","30.5","3.4","994","87","72","11","001","009204","2"],
["671","180","44","39437","9299","75833","19328","51.0","9.7","252","68","19","11","001","009301","1"],
["894","243","90","43319","10168","78333","41106","41.6","9.3","316","78","28","11","001","009301","2"],
["811","325","49","31764","9588","78125","47057","41.6","12.9","347","104","22","11","001","009301","3"],
["981","315","64","38862","13096","62396","27535","33.3","2.3","299","68","24","11","001","009301","4"],
["1025","138","148","37997","5753","63375","7649","38.7","6.4","512","41","68","11","001","009302","1"],
["626","249","55","36578","6890","64722","23029","45.7","14.7","258","70","26","11","001","009400","1"],
["1364","465","78","44882","24645","71250","62539","37.8","16.4","681","112","46","11","001","009400","2"],
["1704","403","126","24309","5621","66285","16607","40.7","11.0","524","104","41","11","001","009400","3"],
["814","239","61","43633","13328","93250","7523","48.8","3.8","355","66","33","11","001","009400","4"],
["2574","555","141","17538","3471","46875","9340","29.8","1.3","806","120","56","11","001","009501","1"],
["989","431","46","14635","5847","39688","21461","26.2","2.4","419","103","25","11","001","009501","2"],
["3420","438","468","13004","3139","40250","17639","20.6","0.6","736","109","55","11","001","009501","3"],
["1625","269","128","34176","5608","88158","12620","46.8","9.9","639","90","59","11","001","009503","1"],
["793","268","74","27807","8159","77500","37416","50.4","14.6","284","81","24","11","001","009503","2"],
["844","238","60","30387","7897","75972","21761","35.9","11.2","364","75","27","11","001","009503","3"],
["1555","311","105","43817","13727","61310","23120","41.7","1.4","966","105","70","11","001","009504","1"],
["1515","362","141","29254","4499","73214","11361","57.6","6.5","452","100","40","11","001","009504","2"],
["918","350","43","30496","11452","72652","17650","48.3","15.6","386","95","23","11","001","009505","1"],
["928","236","70","40019","9475","71181","48886","57.0","9.4","409","83","32","11","001","009505","2"],
["954","363","60","26055","6360","59716","31146","34.7","14.4","385","92","26","11","001","009505","3"],
["1623","193","175","30070","4389","53789","7161","47.1","7.9","629","17","83","11","001","009507","1"],
["1016","303","74","33233","10136","48659","11843","34.6","3.7","578","110","45","11","001","009508","1"],
["1241","375","101","31178","7937","65417","18988","41.6","11.6","607","112","52","11","001","009508","2"],
["1427","426","76","29223","7605","65813","14606","35.0","10.0","561","113","36","11","001","009508","3"],
["1732","450","80","29153","5925","85048","21111","35.8","11.5","578","90","36","11","001","009509","1"],
["833","411","75","29714","9154","68172","12259","40.9","25.5","413","102","41","11","001","009509","2"],
["752","267","61","38431","10724","56000","17529","32.7","22.3","387","94","32","11","001","009509","3"],
["2182","270","206","19729","6108","26607","18082","36.8","6.2","848","53","82","11","001","009601","1"],
["1522","403","104","13769","2932","23906","7366","28.2","4.0","749","106","54","11","001","009602","1"],
["1632","348","81","14563","3206","22839","4618","27.0","5.2","894","115","51","11","001","009602","2"],
["1494","306","97","32838","12592","44160","11308","49.3","3.3","806","116","55","11","001","009603","1"],
["406","167","38","37378","11666","55972","14564","39.0","19.2","244","79","22","11","001","009603","2"],
["999","259","60","21456","6215","26726","8905","41.3","7.7","657","120","38","11","001","009603","3"],
["1102","188","121","28513","4519","43346","5668","49.2","5.3","647","72","79","11","001","009604","1"],
["948","224","95","27506","7015","54779","9831","48.0","11.5","390","69","44","11","001","009604","2"],
["2367","503","134","18600","4530","33841","6804","34.3","8.0","1001","103","63","11","001","009700","1"],
["670","298","51","23394","8704","54375","31291","36.3","23.1","326","98","20","11","001","009700","2"],
["1925","335","195","15116","2937","26389","7588","28.2","4.6","942","36","101","11","001","009801","1"],
["624","198","60","6052","2009","11458","7318","20.1","9.1","347","49","37","11","001","009802","1"],
["923","223","94","23353","4654","42031","16861","40.1","6.3","524","61","56","11","001","009802","2"],
["960","243","69","13029","3658","21667","19811","26.6","6.3","435","89","30","11","001","009803","1"],
["953","317","57","14793","4726","34028","14589","33.1","11.1","462","87","32","11","001","009803","2"],
["885","202","76","16593","3658","16758","13554","50.3","19.3","532","88","45","11","001","009803","3"],
["1560","309","161","22371","4460","43676","10984","27.3","4.7","677","70","79","11","001","009804","1"],
["958","193","96","25470","4330","39375","19575","40.5","6.9","405","68","46","11","001","009804","2"],
["753","275","56","19709","10166","39583","22515","46.6","17.1","315","71","27","11","001","009807","1"],
["2475","422","172","24486","7698","39814","10208","36.4","5.4","1332","72","94","11","001","009807","2"],
["1426","391","64","14051","3750","31667","9606","22.0","4.9","583","123","34","11","001","009810","1"],
["1069","307","63","18044","6502","24025","13397","28.7","14.2","628","124","29","11","001","009810","2"],
["1781","481","78","12690","4136","25417","10548","25.2","4.8","874","154","44","11","001","009811","1"],
["2964","489","149","14136","2020","31134","4862","29.7","5.6","1247","157","65","11","001","009811","2"],
["723","195","65","44410","6948","79632","8954","47.2","9.6","327","56","30","11","001","009901","1"],
["1513","235","138","45328","6445","86563","25327","53.7","5.2","785","54","71","11","001","009901","2"],
["1124","273","76","27771","4693","47955","14625","49.5","9.6","555","102","38","11","001","009902","1"],
["1706","316","103","23466","8448","41140","6166","41.9","11.9","792","103","52","11","001","009902","2"],
["1249","200","102","22567","4588","60368","16772","31.8","7.1","515","81","43","11","001","009903","1"],
["519","134","57","38182","9860","68571","15180","51.2","4.4","273","68","30","11","001","009903","2"],
["598","169","64","18292","5594","38516","15683","40.1","7.9","420","77","41","11","001","009904","1"],
["1573","227","123","18080","3952","32113","3206","28.2","6.5","860","77","75","11","001","009904","2"],
["1148","262","90","21411","7105","36727","4384","35.3","6.0","568","81","42","11","001","009905","1"],
["700","257","48","24715","6255","57167","21389","35.0","7.1","372","68","27","11","001","009905","2"],
["915","331","80","15324","4785","43042","12097","27.4","31.8","436","73","34","11","001","009905","3"],
["1519","212","157","19940","3367","43929","10811","37.4","4.9","763","38","86","11","001","009906","1"],
["747","337","46","24486","7047","34659","59228","40.5","15.9","295","84","22","11","001","009907","1"],
["2095","355","123","13728","4521","23665","5512","27.9","5.4","921","94","60","11","001","009907","2"],
["1712","204","146","76091","8441","98958","10445","37.8","4.2","1432","113","109","11","001","010100","1"],
["731","176","69","61121","13699","61250","11632","35.2","3.9","639","120","57","11","001","010100","2"],
["1043","274","98","65934","11217","103857","17480","41.8","9.9","582","92","57","11","001","010200","1"],
["1500","326","120","60310","11253","84821","9812","33.3","2.9","1019","86","90","11","001","010200","2"],
["922","386","86","43002","6504","100789","66084","36.5","19.3","287","60","27","11","001","010300","1"],
["1221","302","84","30955","6040","71728","17914","40.9","4.4","531","68","43","11","001","010300","2"],
["1304","343","94","21956","6906","40441","12252","45.6","6.3","497","73","40","11","001","010300","3"],
["2064","553","103","18113","5179","41563","20538","30.0","6.4","677","142","40","11","001","010400","1"],
["2366","428","191","18512","3319","34400","8205","40.0","4.1","1129","132","69","11","001","010400","2"],
["1521","354","88","41021","9806","39241","10313","38.5","7.0","978","169","50","11","001","010500","1"],
["1906","302","113","75181","8957","98891","14392","35.5","0.9","1352","166","79","11","001","010500","2"],
["1029","284","75","27445","8821","49063","48372","26.6","0.6","405","97","31","11","001","010600","1"],
["3281","381","288","56829","6703","94022","16033","30.4","1.9","1776","129","166","11","001","010600","2"],
["809","259","75","34136","7102","81161","66819","37.5","3.5","285","71","25","11","001","010600","3"],
["886","197","100","53731","21874","56346","40360","27.7","5.3","514","80","47","11","001","010700","1"],
["972","198","102","60845","12177","81146","26228","29.9","3.6","801","83","79","11","001","010700","2"],
["1609","656","214","8604","4361","27440","18279","20.0","0.8","232","74","18","11","001","010800","1"],
["2325","674","325","8885","2648","24432","15963","19.6","0.8","511","88","59","11","001","010800","2"],
["2362","516","316","10505","3257","64875","30405","20.7","0.6","315","84","31","11","001","010800","3"],
["1982","512","108","14709","5125","29509","5490","23.6","7.2","757","106","53","11","001","010900","1"],
["2150","750","146","9577","2798","37404","7339","22.9","6.3","661","106","52","11","001","010900","2"],
["586","329","24","42449","11330","99363","20588","32.9","10.9","215","95","11","11","001","011000","1"],
["670","204","53","87709","28850","111367","34829","51.9","16.3","671","123","33","11","001","011000","2"],
["624","154","34","83766","23923","81987","21143","48.7","13.8","521","116","25","11","001","011000","3"],
["1498","286","84","71699","14014","80634","13356","49.3","7.9","1133","136","63","11","001","011000","4"],
["1743","346","125","33165","5990","70568","20709","40.1","5.2","638","92","52","11","001","011100","1"],
["1848","368","161","33688","5971","59714","28053","36.9","6.2","689","86","67","11","001","011100","2"],
["1492","483","187","22664","5506","39628","7929","52.0","7.5","571","91","46","11","001","011100","3"],
["1405","307","75","110465","27932","142279","88319","34.9","4.0","742","131","39","11","001","000100","1"],
["1362","274","76","89693","14200","121648","36954","35.2","12.7","895","150","50","11","001","000100","2"],
["1245","302","73","153291","34647","213750","61904","42.2","6.2","546","115","31","11","001","000100","3"],
["1172","298","65","124148","32423","241314","46452","36.8","8.5","645","122","32","11","001","000100","4"],
["3844","755",null,"2651","957","-666666666","-222222222","19.6","0.4","4","5",null,"11","001","000201","1"],
["1168","318","107","90759","25496","185000","58857","26.0","8.5","482","75","50","11","001","000202","1"],
["790","211","67","117374","39442","188854","43174","45.4","10.0","343","65","32","11","001","000202","2"],
["915","275","83","74184","28659","77401","68912","28.2","7.9","419","90","38","11","001","000202","3"],
["1678","558","184","53793","29043","109167","79590","21.6","1.7","727","141","44","11","001","000202","4"],
["1383","388","76","66964","14479","151696","101139","29.7","3.8","590","117","33","11","001","000300","1"],
["1479","339","86","59970","18514","81042","18448","35.4","3.6","825","136","47","11","001","000300","2"],
["1264","413","67","81748","26082","127059","65123","44.4","14.4","683","122","38","11","001","000300","3"],
["1953","533","94","77629","11314","183398","35625","28.9","3.7","649","113","37","11","001","000300","4"],
["598","132","84","145908","36466","250001","-333333333","51.8","3.0","230","34","34","11","001","000400","1"],
["929","174","128","139892","43843","124750","125468","44.1","4.0","467","39","63","11","001","000400","2"],
["2004","459","116","66811","14924","91356","21987","32.7","5.6","1026","128","52","11","001","000501","1"]]
